"","mean","se_mean","sd","2.5%","97.5%","n_eff","Rhat"
"Sigma0[1,1]",0.8299582295,0.00243132792381714,0.0645485636299536,0.708789825,0.962853875,704.832772386461,1.00214587042448
"Sigma0[1,2]",-0.2959714785,0.00157764210552963,0.0365995167782546,-0.36812735,-0.22423125,538.187647669413,1.00243286119841
"Sigma0[2,1]",-0.2959714785,0.00157764210552963,0.0365995167782546,-0.36812735,-0.22423125,538.187647669413,1.00243286119841
"Sigma0[2,2]",0.20770278275,0.00183791840142975,0.0370719629010292,0.136970475,0.28062455,406.854113882526,1.0002537922811
